分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 10, IPv4: 19, IPv6: 0, 最小延迟: 66 ms, 最高速率: 88.71 M/s, 平均速率: 52.26 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 10, IPv4: 19, IPv6: 0, 最小延迟: 62 ms, 最高速率: 92.09 M/s, 平均速率: 54.95 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 10, IPv4: 23, IPv6: 0, 最小延迟: 64 ms, 最高速率: 85.31 M/s, 平均速率: 60.98 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 东方卫视, 有效: 10, IPv4: 28, IPv6: 0, 最小延迟: 58 ms, 最高速率: 100.01 M/s, 平均速率: 51.79 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 东南卫视, 有效: 10, IPv4: 23, IPv6: 0, 最小延迟: 59 ms, 最高速率: 90.50 M/s, 平均速率: 70.51 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 10, IPv4: 17, IPv6: 0, 最小延迟: 56 ms, 最高速率: 97.27 M/s, 平均速率: 46.90 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 北京卫视, 有效: 10, IPv4: 37, IPv6: 0, 最小延迟: 65 ms, 最高速率: 85.91 M/s, 平均速率: 39.58 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 广西卫视, 有效: 10, IPv4: 23, IPv6: 0, 最小延迟: 63 ms, 最高速率: 87.13 M/s, 平均速率: 66.07 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 10, IPv4: 19, IPv6: 0, 最小延迟: 69 ms, 最高速率: 82.68 M/s, 平均速率: 56.21 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 海南卫视, 有效: 9, IPv4: 19, IPv6: 0, 最小延迟: 62 ms, 最高速率: 88.83 M/s, 平均速率: 70.17 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 河北卫视, 有效: 10, IPv4: 23, IPv6: 0, 最小延迟: 61 ms, 最高速率: 93.10 M/s, 平均速率: 72.47 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 河南卫视, 有效: 10, IPv4: 28, IPv6: 0, 最小延迟: 65 ms, 最高速率: 86.20 M/s, 平均速率: 44.16 M/s, 最高分辨率: 1920x1080, 平均帧率: 42.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 9, IPv4: 23, IPv6: 0, 最小延迟: 61 ms, 最高速率: 93.38 M/s, 平均速率: 53.24 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 10, IPv4: 27, IPv6: 0, 最小延迟: 59 ms, 最高速率: 93.06 M/s, 平均速率: 63.12 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 江西卫视, 有效: 8, IPv4: 22, IPv6: 0, 最小延迟: 63 ms, 最高速率: 93.63 M/s, 平均速率: 69.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 10, IPv4: 25, IPv6: 0, 最小延迟: 54 ms, 最高速率: 94.50 M/s, 平均速率: 51.84 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 10, IPv4: 17, IPv6: 0, 最小延迟: 62 ms, 最高速率: 94.92 M/s, 平均速率: 50.46 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 10, IPv4: 23, IPv6: 0, 最小延迟: 66 ms, 最高速率: 89.45 M/s, 平均速率: 40.15 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 青海卫视, 有效: 10, IPv4: 26, IPv6: 0, 最小延迟: 58 ms, 最高速率: 93.28 M/s, 平均速率: 47.73 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 山东卫视, 有效: 10, IPv4: 21, IPv6: 0, 最小延迟: 59 ms, 最高速率: 97.27 M/s, 平均速率: 50.50 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 山西卫视, 有效: 8, IPv4: 15, IPv6: 0, 最小延迟: 55 ms, 最高速率: 104.32 M/s, 平均速率: 61.98 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 8, IPv4: 18, IPv6: 0, 最小延迟: 65 ms, 最高速率: 85.46 M/s, 平均速率: 30.06 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 四川卫视, 有效: 10, IPv4: 27, IPv6: 0, 最小延迟: 62 ms, 最高速率: 94.06 M/s, 平均速率: 68.19 M/s, 最高分辨率: 3840x2160, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 10, IPv4: 20, IPv6: 0, 最小延迟: 59 ms, 最高速率: 96.93 M/s, 平均速率: 53.78 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 10, IPv4: 18, IPv6: 0, 最小延迟: 74 ms, 最高速率: 75.17 M/s, 平均速率: 41.96 M/s, 最高分辨率: 1920x1080, 平均帧率: 60.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 天津卫视, 有效: 10, IPv4: 21, IPv6: 0, 最小延迟: 54 ms, 最高速率: 99.33 M/s, 平均速率: 47.49 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 10, IPv4: 16, IPv6: 0, 最小延迟: 63 ms, 最高速率: 88.50 M/s, 平均速率: 40.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 10, IPv4: 23, IPv6: 0, 最小延迟: 69 ms, 最高速率: 83.06 M/s, 平均速率: 41.93 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️影视频道, 名称: CHC动作电影, 有效: 6, IPv4: 10, IPv6: 0, 最小延迟: 68 ms, 最高速率: 82.04 M/s, 平均速率: 26.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 云南卫视, 有效: 10, IPv4: 18, IPv6: 0, 最小延迟: 62 ms, 最高速率: 86.03 M/s, 平均速率: 50.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️影视频道, 名称: CHC高清电影, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 10007 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️影视频道, 名称: CHC家庭影院, 有效: 8, IPv4: 12, IPv6: 0, 最小延迟: 19 ms, 最高速率: 151.13 M/s, 平均速率: 36.59 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️影视频道, 名称: 经典电影, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 10006 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️影视频道, 名称: IPTV经典电影, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: ☘️影视频道, 名称: NewTV惊悚悬疑, 有效: 2, IPv4: 3, IPv6: 0, 最小延迟: 73 ms, 最高速率: 75.10 M/s, 平均速率: 67.05 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
