🕘️更新时间,#genre#
2026-05-13 05:58:32,http://61.178.227.57:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0

📺央视频道,#genre#
CCTV-1,http://61.178.227.57:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://123.113.104.82:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://42.237.163.143:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,https://itv.gcl.de5.net/live?url=http%3A//27.18.119.28%3A8888/rtp/239.254.96.96%3A8550
CCTV-1,https://itv.gcl.de5.net/live?url=http%3A//171.83.38.8%3A8888/rtp/239.254.96.96%3A8550
CCTV-1,https://itv.gcl.de5.net/live?url=http%3A//27.11.53.195%3A8001/rtp/225.0.4.74%3A7980
CCTV-1,https://itv.gcl.de5.net/live?url=http%3A//182.121.11.178%3A8090/rtp/225.1.4.73%3A1102
CCTV-1,https://itv.gcl.de5.net/live?url=http%3A//182.121.11.178%3A8090/rtp/225.1.4.1%3A1030
CCTV-1,https://itv.gcl.de5.net/live?url=http%3A//27.11.194.22%3A8009/rtp/225.0.4.74%3A7980
CCTV-1,https://itv.gcl.de5.net/live?url=http%3A//120.6.121.227%3A8088/rtp/239.253.92.83%3A8012
CCTV-2,http://61.178.227.57:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://123.113.104.82:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://42.237.163.143:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,https://itv.gcl.de5.net/live?url=http%3A//27.18.119.28%3A8888/rtp/239.69.1.102%3A10250
CCTV-2,https://itv.gcl.de5.net/live?url=http%3A//171.83.38.8%3A8888/rtp/239.69.1.102%3A10250
CCTV-2,https://itv.gcl.de5.net/live?url=http%3A//27.11.53.195%3A8001/rtp/225.0.4.132%3A7980
CCTV-2,https://itv.gcl.de5.net/live?url=http%3A//182.121.11.178%3A8090/rtp/225.1.4.74%3A1103
CCTV-2,https://itv.gcl.de5.net/live?url=http%3A//182.121.11.178%3A8090/rtp/225.1.4.2%3A1031
CCTV-2,https://itv.gcl.de5.net/live?url=http%3A//27.11.194.22%3A8009/rtp/225.0.4.132%3A7980
CCTV-2,https://itv.gcl.de5.net/live?url=http%3A//120.6.121.227%3A8088/rtp/239.253.92.190%3A6065
CCTV-3,http://61.178.227.57:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://123.113.104.82:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://42.237.163.143:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,https://itv.gcl.de5.net/live?url=http%3A//27.18.119.28%3A8888/rtp/239.69.1.122%3A10370
CCTV-3,https://itv.gcl.de5.net/live?url=http%3A//171.83.38.8%3A8888/rtp/239.69.1.122%3A10370
CCTV-3,https://itv.gcl.de5.net/live?url=http%3A//27.11.53.195%3A8001/rtp/225.0.4.142%3A7980
CCTV-3,https://itv.gcl.de5.net/live?url=http%3A//182.121.11.178%3A8090/rtp/225.1.4.158%3A1194
CCTV-3,https://itv.gcl.de5.net/live?url=http%3A//27.11.194.22%3A8009/rtp/225.0.4.142%3A7980
CCTV-3,https://itv.gcl.de5.net/live?url=http%3A//120.6.121.227%3A8088/rtp/239.253.92.191%3A6057
CCTV-3,https://itv.gcl.de5.net/live?url=http%3A//221.219.199.86%3A4022/rtp/239.3.1.172%3A8001
CCTV-4,https://itv.gcl.de5.net/live?url=http%3A//27.18.119.28%3A8888/rtp/239.69.1.138%3A10466
CCTV-4,https://itv.gcl.de5.net/live?url=http%3A//171.83.38.8%3A8888/rtp/239.69.1.138%3A10466
CCTV-4,https://itv.gcl.de5.net/live?url=http%3A//27.11.53.195%3A8001/rtp/225.0.4.176%3A7980
CCTV-4,https://itv.gcl.de5.net/live?url=http%3A//182.121.11.178%3A8090/rtp/225.1.5.30%3A1333
CCTV-4,https://itv.gcl.de5.net/live?url=http%3A//182.121.11.178%3A8090/rtp/225.1.4.4%3A1033
CCTV-4,https://itv.gcl.de5.net/live?url=http%3A//27.11.194.22%3A8009/rtp/225.0.4.176%3A7980
CCTV-4,https://itv.gcl.de5.net/live?url=http%3A//221.219.199.86%3A4022/rtp/239.3.1.105%3A8092
CCTV-4,https://itv.gcl.de5.net/live?url=http%3A//27.11.194.169%3A8001/rtp/225.0.4.176%3A7980
CCTV-4,https://itv.gcl.de5.net/live?url=http%3A//27.10.73.172%3A8003/rtp/225.0.4.176%3A7980
CCTV-4,https://itv.gcl.de5.net/live?url=http%3A//42.230.249.238%3A4000/rtp/225.1.5.30%3A1333
CCTV-5,http://61.178.227.57:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://123.113.104.82:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://42.237.163.143:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,https://itv.gcl.de5.net/live?url=http%3A//27.18.119.28%3A8888/rtp/239.69.1.123%3A10376
CCTV-5,https://itv.gcl.de5.net/live?url=http%3A//171.83.38.8%3A8888/rtp/239.69.1.123%3A10376
CCTV-5,https://itv.gcl.de5.net/live?url=http%3A//27.11.53.195%3A8001/rtp/225.0.4.143%3A7980
CCTV-5,https://itv.gcl.de5.net/live?url=http%3A//182.121.11.178%3A8090/rtp/225.1.4.159%3A1195
CCTV-5,https://itv.gcl.de5.net/live?url=http%3A//27.11.194.22%3A8009/rtp/225.0.4.143%3A7980
CCTV-5,https://itv.gcl.de5.net/live?url=http%3A//221.219.199.86%3A4022/rtp/239.3.1.173%3A8001
CCTV-5,https://itv.gcl.de5.net/live?url=http%3A//27.11.194.169%3A8001/rtp/225.0.4.143%3A7980
CCTV-5+,http://61.178.227.57:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,http://42.237.163.143:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+,https://itv.gcl.de5.net/live?url=http%3A//27.18.119.28%3A8888/rtp/239.254.96.234%3A9484
CCTV-5+,https://itv.gcl.de5.net/live?url=http%3A//171.83.38.8%3A8888/rtp/239.254.96.234%3A9484
CCTV-5+,https://itv.gcl.de5.net/live?url=http%3A//27.11.53.195%3A8001/rtp/225.0.4.73%3A7980
CCTV-5+,https://itv.gcl.de5.net/live?url=http%3A//27.11.194.22%3A8009/rtp/225.0.4.73%3A7980
CCTV-5+,https://itv.gcl.de5.net/live?url=http%3A//221.219.199.86%3A4022/rtp/239.3.1.130%3A8004
CCTV-5+,https://itv.gcl.de5.net/live?url=http%3A//27.11.194.169%3A8001/rtp/225.0.4.73%3A7980
CCTV-5+,https://itv.gcl.de5.net/live?url=http%3A//27.10.73.172%3A8003/rtp/225.0.4.73%3A7980
CCTV-5+,https://itv.gcl.de5.net/live?url=http%3A//114.250.16.7%3A4022/rtp/239.3.1.130%3A8004
CCTV-6,http://61.178.227.57:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://123.113.104.82:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,http://42.237.163.143:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6,https://itv.gcl.de5.net/live?url=http%3A//27.18.119.28%3A8888/rtp/239.69.1.124%3A10382
CCTV-6,https://itv.gcl.de5.net/live?url=http%3A//171.83.38.8%3A8888/rtp/239.69.1.124%3A10382
CCTV-6,https://itv.gcl.de5.net/live?url=http%3A//27.11.53.195%3A8001/rtp/225.0.4.144%3A7980
CCTV-6,https://itv.gcl.de5.net/live?url=http%3A//182.121.11.178%3A8090/rtp/225.1.4.160%3A1196
CCTV-6,https://itv.gcl.de5.net/live?url=http%3A//27.11.194.22%3A8009/rtp/225.0.4.144%3A7980
CCTV-6,https://itv.gcl.de5.net/live?url=http%3A//221.219.199.86%3A4022/rtp/239.3.1.174%3A8001
CCTV-6,https://itv.gcl.de5.net/live?url=http%3A//27.11.194.169%3A8001/rtp/225.0.4.144%3A7980
CCTV-7,http://61.178.227.57:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://123.113.104.82:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,https://itv.gcl.de5.net/live?url=http%3A//27.18.119.28%3A8888/rtp/239.69.1.103%3A10256
CCTV-7,https://itv.gcl.de5.net/live?url=http%3A//171.83.38.8%3A8888/rtp/239.69.1.103%3A10256
CCTV-7,https://itv.gcl.de5.net/live?url=http%3A//27.11.53.195%3A8001/rtp/225.0.4.127%3A7980
CCTV-7,https://itv.gcl.de5.net/live?url=http%3A//182.121.11.178%3A8090/rtp/225.1.4.76%3A1105
CCTV-7,https://itv.gcl.de5.net/live?url=http%3A//182.121.11.178%3A8090/rtp/225.1.4.7%3A1036
CCTV-7,https://itv.gcl.de5.net/live?url=http%3A//27.11.194.22%3A8009/rtp/225.0.4.127%3A7980
CCTV-7,https://itv.gcl.de5.net/live?url=http%3A//221.219.199.86%3A4022/rtp/239.3.1.61%3A8104
CCTV-7,https://itv.gcl.de5.net/live?url=http%3A//27.11.194.169%3A8001/rtp/225.0.4.127%3A7980
CCTV-8,http://61.178.227.57:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://123.113.104.82:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://42.237.163.143:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,https://itv.gcl.de5.net/live?url=http%3A//27.18.119.28%3A8888/rtp/239.69.1.125%3A10388
CCTV-8,https://itv.gcl.de5.net/live?url=http%3A//171.83.38.8%3A8888/rtp/239.69.1.125%3A10388
CCTV-8,https://itv.gcl.de5.net/live?url=http%3A//27.11.53.195%3A8001/rtp/225.0.4.137%3A7980
CCTV-8,https://itv.gcl.de5.net/live?url=http%3A//182.121.11.178%3A8090/rtp/225.1.4.161%3A1197
CCTV-8,https://itv.gcl.de5.net/live?url=http%3A//27.11.194.22%3A8009/rtp/225.0.4.137%3A7980
CCTV-8,https://itv.gcl.de5.net/live?url=http%3A//221.219.199.86%3A4022/rtp/239.3.1.175%3A8001
CCTV-8,https://itv.gcl.de5.net/live?url=http%3A//27.11.194.169%3A8001/rtp/225.0.4.137%3A7980
CCTV-9,http://61.178.227.57:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://123.113.104.82:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://117.85.57.55:60001/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,http://42.237.163.143:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9,https://itv.gcl.de5.net/live?url=http%3A//27.18.119.28%3A8888/rtp/239.69.1.104%3A10262
CCTV-9,https://itv.gcl.de5.net/live?url=http%3A//171.83.38.8%3A8888/rtp/239.69.1.104%3A10262
CCTV-9,https://itv.gcl.de5.net/live?url=http%3A//27.11.53.195%3A8001/rtp/225.0.4.131%3A7980
CCTV-9,https://itv.gcl.de5.net/live?url=http%3A//182.121.11.178%3A8090/rtp/225.1.4.77%3A1106
CCTV-9,https://itv.gcl.de5.net/live?url=http%3A//182.121.11.178%3A8090/rtp/225.1.4.9%3A1038
CCTV-9,https://itv.gcl.de5.net/live?url=http%3A//27.11.194.22%3A8009/rtp/225.0.4.131%3A7980
CCTV-10,http://61.178.227.57:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://123.113.104.82:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://42.237.163.143:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,https://itv.gcl.de5.net/live?url=http%3A//27.18.119.28%3A8888/rtp/239.69.1.105%3A10268
